side,index,s_m,x_m,y_m,width_from_center_m
left,99,33.254985276,6.097510618,4.162652356,0.671571134
left,100,33.591246087,6.087647600,3.795488210,0.669651248
left,101,33.927506920,6.014848373,3.437302851,0.671834713
left,102,34.263768481,5.789409193,3.153131102,0.681516789
left,103,34.600030076,5.456373439,3.002885139,0.700637385
left,104,34.936289489,5.095088384,2.938052996,0.728294941
left,105,35.272526546,4.728827614,2.912284114,0.760065550
left,106,35.608663812,4.361995745,2.929256193,0.788466530
left,107,35.944449532,3.995250997,2.949453524,0.805026421
left,108,36.279469392,3.627960879,2.955892451,0.803612060
left,109,36.614265769,3.267135207,3.014666529,0.783290472
left,110,36.949649601,2.999633454,3.255221585,0.749282935
left,111,37.285413181,2.889463124,3.603895181,0.711561280
left,112,37.621332188,2.867472373,3.970064141,0.680982190
left,113,37.957302202,2.890265090,4.336673188,0.664191134
left,114,38.293205282,2.892536764,4.703755829,0.660586194
left,115,38.628803018,2.851825263,5.068760910,0.663822571
left,116,38.963807674,2.809827694,5.433673803,0.666441453
left,117,39.298723073,2.777182289,5.799571458,0.663757960
left,118,39.634321293,2.759512686,6.166431119,0.654803103
left,119,39.970381643,2.757577856,6.533774648,0.641261831
left,120,40.306593067,2.757548000,6.901127148,0.626123118
left,121,40.642844070,2.757542244,7.268479651,0.612584753
left,122,40.979104867,2.756795865,7.635830649,0.603141472
left,123,41.315366130,2.744856931,8.002929435,0.598893329
left,124,41.651627224,2.705611401,8.368102663,0.599098743
left,125,41.987888765,2.636578347,8.728737215,0.601334255
left,126,42.324149460,2.521176169,9.077115782,0.602959997
left,127,42.660410781,2.341378510,9.396482008,0.603463569
left,128,42.996671517,2.076647234,9.648314617,0.606285667
left,129,43.332926761,1.730420691,9.756771487,0.619069763
left,130,43.669169525,1.379480319,9.663699094,0.652030323
left,131,44.005374817,1.109004570,9.419182273,0.712883136
left,132,44.341444188,0.949469799,9.090058017,0.797620042
left,133,44.676989709,0.876014306,8.730662684,0.884042777
left,134,45.011113852,0.855039038,8.364048685,0.940557351
left,135,45.345252516,0.855194647,7.996708112,0.949694044
left,136,45.680883393,0.857765206,7.629365047,0.923849652
left,137,46.017008739,0.866221104,7.262143013,0.894882106
left,138,46.353210226,0.892604371,6.895750172,0.888068311
left,139,46.689322803,0.906406652,6.528714939,0.904476949
left,140,47.024791448,0.907535996,6.161365710,0.923054217
left,141,47.358196060,0.907548000,5.794013207,0.918632632
left,142,47.692208714,0.907548000,5.426660704,0.882801453
left,143,48.027888919,0.907548001,5.059308200,0.830621719
left,144,48.364002814,0.907574503,4.691955699,0.787930931
left,145,48.700200611,0.909376632,4.324611052,0.773520703
left,146,49.036389644,0.926230739,3.957707059,0.791892288
left,147,49.372495548,0.949545888,3.591145460,0.836333318
left,148,49.708447576,0.910575305,3.227798249,0.894157229
left,149,50.044410446,0.631381124,3.020261317,0.951027466
left,150,50.380653128,0.265587724,2.988033169,0.995336018
left,151,50.716588930,-0.100914950,2.963552080,1.021744688
left,152,51.052218307,-0.467934000,2.973906387,1.032030378
left,153,51.388220439,-0.834506951,2.997339356,1.033367071
left,154,51.724421286,-1.201808852,3.002284336,1.034690787
left,155,52.060648051,-1.569161283,3.002436081,1.041927883
left,156,52.396803356,-1.936513787,3.002437120,1.054386606
left,157,52.732706885,-2.303865524,3.002935771,1.065105690
left,158,53.068267361,-2.670625211,3.019545004,1.065219120
left,159,53.403829464,-3.007712747,3.151597924,1.049093090
left,160,53.739657834,-3.169185711,3.473296247,1.016440835
left,161,54.075653872,-3.191634597,3.839596644,0.970550704
left,162,54.411686631,-3.192448094,4.206947209,0.915419467
left,163,54.747721047,-3.192452000,4.574299713,0.855045385
left,164,55.083811552,-3.192452000,4.941652216,0.794762283
left,165,55.419989707,-3.192451994,5.309004719,0.741632132
left,166,55.756222869,-3.192388013,5.676357209,0.701916990
left,167,56.092476971,-3.189624665,6.043693012,0.677555079
left,168,56.428737198,-3.175307341,6.410755514,0.665497958
left,169,56.764998710,-3.159900592,6.777737699,0.660835432
left,170,57.101260237,-3.066644742,7.131322125,0.660302292
left,171,57.437521125,-2.908616280,7.462917141,0.662936230
left,172,57.773781191,-2.783852434,7.807974399,0.668062359
left,173,58.110042007,-2.735177300,8.170961900,0.673202606
left,174,58.446303559,-2.790204810,8.533198764,0.674493300
left,175,58.782563906,-2.921006108,8.875833295,0.669284562
left,176,59.118823339,-3.122237130,9.182198635,0.657809712
left,177,59.455080980,-3.387930236,9.434884685,0.642754415
left,178,59.791320157,-3.696842192,9.632881597,0.628301007
left,179,60.127412928,-4.033465533,9.779155103,0.618616609
left,180,60.462527880,-4.390163481,9.862763740,0.614847582
left,181,60.794589399,-4.756141562,9.841754044,0.612959393
left,182,61.127736002,-5.122428519,9.819623164,0.605932748
left,183,61.461789395,-5.489626810,9.822304786,0.589666594
