index,s_m,center_x_m,center_y_m,w_left_m,w_right_m,left_boundary_x_m,left_boundary_y_m,right_boundary_x_m,right_boundary_y_m
48,16.130944870,9.490237611,7.686280634,0.689644697,0.862986660,7.852803617,9.976902694,10.319549645,7.978545401
49,16.467056785,9.490114491,8.022392527,0.708228364,0.847435567,7.507405000,10.091920122,10.254519575,8.354060444
50,16.803218752,9.458069731,8.357023669,0.739015743,0.828689908,7.140561648,10.089892448,10.166745947,8.724971561
51,17.139427488,9.401432624,8.688427580,0.776385125,0.817530324,6.779628319,10.024814533,10.084139605,9.097066350
52,17.475669324,9.328386205,9.016639086,0.815096936,0.822701766,6.468376390,9.842700311,10.007307703,9.470420610
53,17.811923226,9.245664347,9.342558985,0.850740077,0.848226469,6.752070847,9.751059885,9.931122473,9.843902121
54,18.148166997,9.154036638,9.666077512,0.878328979,0.890513611,7.103509520,9.685640000,9.867193598,10.219664283
55,18.484309155,9.043050976,9.983368755,0.892061673,0.935319970,7.343522851,9.408730468,9.811740685,10.596780979
56,18.819910436,8.886108974,10.280012359,0.887168433,0.959968202,7.566810860,9.117661500,9.754374057,10.973587624
57,19.154327209,8.650058381,10.516897766,0.862504460,0.945845681,7.885370601,8.940779346,9.637582162,11.333817766
58,19.489187946,8.345564962,10.656237174,0.822413088,0.893474532,8.213722532,8.780630658,9.300035211,11.470402640
59,19.825053193,8.015570247,10.718758786,0.776716496,0.823993226,8.421494173,8.481783199,8.919156585,11.455893011
60,20.161233772,7.680184070,10.741856285,0.737866171,0.764258452,8.542405251,8.135265503,8.538050920,11.448648813
61,20.497476652,7.343978571,10.746869969,0.716139915,0.731582482,8.580501264,7.771558372,8.157628861,11.425447639
62,20.833723609,7.007785616,10.740843963,0.715900761,0.731281248,8.490055139,7.417207725,7.777061145,11.405041005
63,21.169945134,6.672163181,10.720781693,0.734846377,0.762282960,8.318127130,7.092973370,7.395898255,11.402475543
64,21.506068844,6.339084267,10.675642068,0.765528283,0.818841043,8.105086355,6.794071222,7.014720334,11.402353230
65,21.841857857,6.015801443,10.584853977,0.798005369,0.886385446,7.798305521,6.615938043,6.633575032,11.398447076
66,22.176822802,5.724956570,10.418689077,0.823196075,0.941502749,7.439886998,6.692034973,6.253165994,11.375043624
67,22.511441202,5.505518812,10.166069711,0.835820249,0.963498763,7.254587567,6.486995961,5.872715320,11.351970684
68,22.846802542,5.371609504,9.858603412,0.835402679,0.948962510,7.513719507,6.228048257,5.492624894,11.324425261
69,23.182731462,5.302542611,9.529851219,0.825294417,0.913131528,7.674307328,5.920681042,5.121667486,11.241343196
70,23.518899012,5.272298033,9.195046968,0.811045698,0.876106480,7.366831629,5.828176426,4.799584497,11.041020234
71,23.855142270,5.261423982,8.858979588,0.798707779,0.849216711,7.024462235,5.732373272,4.559877405,10.747522577
72,24.191401681,5.258336525,8.522734352,0.792754672,0.833287623,6.763636918,5.474286210,4.489509776,10.376972936
73,24.527663133,5.257664691,8.186473570,0.794225755,0.824961308,6.456469910,5.519824837,4.503896486,9.996083205
74,24.863924726,5.257563397,7.850211993,0.800634371,0.821508614,6.381527030,5.877883142,4.496189191,9.615077887
75,25.200186324,5.257601701,7.513950397,0.808064484,0.821009324,6.338899975,6.242751718,4.468559370,9.234909359
76,25.536447906,5.257856176,7.177688911,0.813816290,0.821217251,6.312229512,6.609048351,4.458131842,8.853923637
77,25.872709329,5.258854571,6.841428971,0.817691963,0.820195686,6.307674622,6.976356809,4.460137600,8.472759522
78,26.208970094,5.261736771,6.505180558,0.821678337,0.817806864,6.307547970,7.343709261,4.474162104,8.091849525
79,26.545230038,5.267854698,6.168976273,0.828936825,0.815178525,6.307548000,7.711061764,4.470010040,7.710815531
80,26.881490740,5.277358439,5.832849901,0.842496816,0.811720092,6.307548002,8.078414268,4.458648946,7.329832058
81,27.217752176,5.287876058,5.496752990,0.863848597,0.803302300,6.307568537,8.445766770,4.459032292,6.948660958
82,27.554008140,5.294649357,5.160565252,0.892193684,0.785050122,6.309098335,8.813113542,4.475454674,6.567904536
83,27.890236769,5.290275378,4.824365075,0.924316029,0.756547315,6.322467918,9.180194748,4.499782199,6.187551164
84,28.226317761,5.259871136,4.489662198,0.954038905,0.723450193,6.276792644,9.537517121,4.488689274,5.806701942
85,28.561573240,5.169211202,4.166897558,0.972742075,0.693669145,6.083866229,9.284462047,4.468052671,5.426180811
86,28.894529416,4.965584668,3.903466258,0.974170360,0.672558108,6.030115142,8.921284138,4.500386633,5.046809542
87,29.228317321,4.662735573,3.763121002,0.959942502,0.661391044,6.010124468,8.554579347,4.543988367,4.668877972
88,29.563396933,4.328905271,3.734212950,0.936628661,0.658564612,6.015028990,8.187314768,4.302814864,4.507357656
89,29.898022291,4.002336591,3.807199441,0.906121623,0.661024729,6.040812187,7.820885899,4.140762348,4.846100837
90,30.231014426,3.735289514,4.006120582,0.863852895,0.665215368,6.056104095,7.453912645,4.082336990,5.222396806
91,30.565384017,3.580302325,4.302400847,0.809105847,0.668268937,6.057530152,7.086565216,4.086066270,5.603212681
92,30.901235536,3.507739593,4.630319879,0.752280980,0.669463017,6.057548726,6.719212714,4.104730427,5.983885771
93,31.237426911,3.473661685,4.964779649,0.708014356,0.670605628,6.057855867,6.351860488,4.100184932,6.364976440
94,31.573679938,3.454835703,5.300505252,0.683405248,0.674117977,6.065341759,5.984617197,4.073473694,6.745198862
95,31.909941004,3.440713480,5.636469635,0.675000526,0.680157435,6.098259666,5.618829041,4.058690783,7.126024981
96,32.246202304,3.428141407,5.972495832,0.674556040,0.686085445,6.151776703,5.255416861,4.057552921,7.507199648
97,32.582462876,3.417827071,6.308598178,0.675293004,0.689187477,6.189803876,4.890366920,4.056779368,7.888376033
98,32.918723695,3.410407601,6.644777133,0.674216053,0.689460140,6.153767440,4.525434466,4.044390200,8.269295155
99,33.254985276,3.404301407,6.980983268,0.671571134,0.689324398,6.097510618,4.162652356,4.016976206,8.649476494
100,33.591246087,3.396774879,7.317159835,0.669651248,0.691142990,6.087647600,3.795488210,4.012049385,9.030526791
101,33.927506920,3.386524347,7.653264394,0.671834713,0.695756246,6.014848373,3.437302851,4.035179913,9.410948224
102,34.263768481,3.374726704,7.989318933,0.681516789,0.703805807,5.789409193,3.153131102,4.058799992,9.791375028
103,34.600030076,3.362911780,8.325372899,0.700637385,0.718429859,5.456373439,3.002885139,4.081390376,10.171859387
104,34.936289489,3.349391408,8.661360387,0.728294941,0.745982662,5.095088384,2.938052996,4.018897397,10.544293355
105,35.272526546,3.327150952,8.996861088,0.760065550,0.791932196,4.728827614,2.912284114,3.730657040,10.780505781
106,35.608663812,3.282694402,9.330045537,0.788466530,0.853415420,4.361995745,2.929256193,3.373570309,10.913682351
107,35.944449532,3.193191894,9.653683221,0.805026421,0.915666959,3.995250997,2.949453524,3.015791530,11.045143922
108,36.279469392,3.028596220,9.945482075,0.803612060,0.959033686,3.627960879,2.955892451,2.657929440,11.176294423
109,36.614265769,2.780133811,10.169881374,0.783290472,0.972598632,3.267135207,3.014666529,2.288523536,11.268695954
110,36.949649601,2.477163769,10.313726668,0.749282935,0.960852009,2.999633454,3.255221585,1.908702544,11.294066959
111,37.285413181,2.149815209,10.388426744,0.711561280,0.937114535,2.889463124,3.603895181,1.530279533,11.252650791
112,37.621332188,1.814345719,10.405799154,0.680982190,0.913172837,2.867472373,3.970064141,1.163269915,11.150742856
113,37.957302202,1.480012379,10.372677135,0.664191134,0.895132498,2.890265090,4.336673188,0.806052137,11.017791676
114,38.293205282,1.154553161,10.289567710,0.660586194,0.883565709,2.892536764,4.703755829,0.452194124,10.876135037
115,38.628803018,0.850568182,10.147374274,0.663822571,0.873147907,2.851825263,5.068760910,0.111373300,10.706066836
116,38.963807674,0.594120648,9.931822003,0.666441453,0.854348518,2.809827694,5.433673803,-0.193379619,10.478632956
117,39.298723073,0.417301974,9.647386631,0.663757960,0.820205300,2.777182289,5.799571458,-0.358052492,10.143343575
118,39.634321293,0.322440108,9.325474543,0.654803103,0.773035588,2.759512686,6.166431119,-0.393136976,9.763818890
119,39.970381643,0.282571769,8.991787453,0.641261831,0.723432644,2.757577856,6.533774648,-0.393043353,9.384045333
120,40.306593067,0.272176508,8.655736772,0.626123118,0.682436419,2.757548000,6.901127148,-0.351578989,9.006199492
121,40.642844070,0.276138705,8.319509114,0.612584753,0.654942948,2.757542244,7.268479651,-0.359397342,8.625461727
122,40.979104867,0.285813377,7.983387522,0.603141472,0.639476183,2.756795865,7.635830649,-0.319841221,8.246462846
123,41.315366130,0.295696764,7.647271536,0.598893329,0.631941494,2.744856931,8.002929435,-0.320814578,7.865331846
124,41.651627224,0.303477093,7.311100465,0.599098743,0.628564295,2.705611401,8.368102663,-0.299063962,7.484818258
125,41.987888765,0.310423759,6.974910686,0.601334255,0.626375394,2.636578347,8.728737215,-0.291475252,7.103778851
126,42.324149460,0.319188970,6.638764250,0.602959997,0.623029626,2.521176169,9.077115782,-0.291675608,6.722602591
127,42.660410781,0.330304020,6.302686681,0.603463569,0.618050443,2.341378510,9.396482008,-0.279496630,6.341679798
128,42.996671517,0.340954805,5.966594666,0.606285667,0.615027067,2.076647234,9.648314617,-0.245881311,5.962000831
129,43.332926761,0.346684145,5.630388235,0.619069763,0.621715712,1.730420691,9.756771487,-0.215425513,5.582089643
130,43.669169525,0.342700773,5.294169068,0.652030323,0.645807879,1.379480319,9.663699094,-0.253002209,5.204385284
131,44.005374817,0.322164829,4.958591545,0.712883136,0.688314018,1.109004570,9.419182273,-0.430173202,4.869848644
132,44.341444188,0.272096324,4.626272772,0.797620042,0.740202166,0.949469799,9.090058017,-0.720941156,4.627097884
133,44.676989709,0.167408426,4.307476221,0.884042777,0.786235197,0.876014306,8.730662684,-1.086813752,4.533339256
134,45.011113852,-0.028801542,4.037031048,0.940557351,0.813930540,0.855039038,8.364048685,-1.451817568,4.625830127
135,45.345252516,-0.317109476,3.868131133,0.949694044,0.820993515,0.855194647,7.996708112,-1.714815027,4.895666250
136,45.680883393,-0.644130229,3.792596283,0.923849652,0.815899613,0.857765206,7.629365047,-1.821148619,5.258613545
137,46.017008739,-0.979259277,3.766735705,0.894882106,0.811548927,0.866221104,7.262143013,-1.768540821,5.632816281
138,46.353210226,-1.315460574,3.767092635,0.888068311,0.816514057,0.892604371,6.895750172,-1.542656213,5.934972083
139,46.689322803,-1.650472953,3.794265598,0.904476949,0.829687333,0.906406652,6.528714939,-1.199820582,6.092628017
140,47.024791448,-1.976012307,3.875280047,0.923054217,0.841647991,0.907535996,6.161365710,-0.824311584,6.153690808
141,47.358196060,-2.252573480,4.061485720,0.918632632,0.841552670,0.907548000,5.794013207,-0.670580328,6.472867207
142,47.692208714,-2.419525519,4.350780501,0.882801453,0.824944966,0.907548000,5.426660704,-0.687719886,6.853633579
