bag,name,direction,speed_command_mps,radius_command_m,steering_command_rad,samples,steady_duration_s,vx_mps,vx_mad_mps,vy_mps,vy_mad_mps,yaw_rate_radps,yaw_rate_mad_radps,imu_yaw_rate_radps,speed_mps,curvature_per_m,radius_from_twist_m,kinematic_delta_rad,lateral_accel_mps2,sideslip_proxy_rad,pointlio_age_median_s,pointlio_age_p95_s,yaw_rate_imu_odom_rmse_radps
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_left_v1p0_20260820_161350.bag,circle_r2p5_left_v1p0_20260820_161350,left,1.0,2.5,0.12406951934099197,2256,22.549978494644165,0.9743419599031589,0.025357483986983235,0.03467032931602039,0.03117458026699718,0.3267628650357963,0.06447911537782511,0.32739436136432093,0.9755385151139644,0.33494127258887785,2.98559809740786,0.10677358730229483,0.31935570831106497,0.03550583905858788,0.10708463191986084,0.13295780420303344,0.03602392580814409
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_right_v1p0_20260820_161435.bag,circle_r2p5_right_v1p0_20260820_161435,right,1.0,2.5,-0.09791433811187744,2153,21.51997947692871,0.9803614733344008,0.03010184329945511,-0.06830459030244837,0.02921805155634004,-0.32275307037261664,0.06824824188948925,-0.3278477418660671,0.9832381036444574,-0.3266043741330537,3.0618083504068903,-0.10413533933489487,-0.31849511970379424,-0.06909889070440946,0.1065528392791748,0.13330745697021484,0.037136481734909806
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_left_v1p5_20260820_161827.bag,circle_r2p5_left_v1p5_20260820_161827,left,1.5,2.5,0.12406951934099197,2260,22.589978456497192,1.4606245530032222,0.03329953333940318,0.03203827303588322,0.03674526859151849,0.5020995125126455,0.08041063612719505,0.502945211162914,1.461796267335103,0.34308459349727105,2.914733041167766,0.10934913747812794,0.7342713158778048,0.021890334092625422,0.10201644897460938,0.127820885181427,0.040862019167702573
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_right_v1p5_20260820_161631.bag,circle_r2p5_right_v1p5_20260820_161631,right,1.5,2.5,-0.09791433811187744,2268,22.669978380203247,1.477038883686158,0.03097219519375082,-0.09122213267066308,0.03297306780497785,-0.5031123841222724,0.08091557365525241,-0.5031510765043625,1.480423210592201,-0.3405228804587409,2.9366602375159974,-0.10853908035974323,-0.7456207981800084,-0.06169307360848197,0.10510778427124023,0.13149118423461914,0.041366620049280926
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_left_v2p0_20260820_161911.bag,circle_r2p5_left_v2p0_20260820_161911,left,2.0,2.5,0.12406951934099197,2261,22.59997844696045,1.9525243993556567,0.033343908107664175,0.007618819780525702,0.038365694755092036,0.7074545687769735,0.09210119816372518,0.7034524129164789,1.9529199497314795,0.3625340434263413,2.758361643913249,0.11549461130108986,1.3764639178108724,0.003927710966052497,0.10274338722229004,0.12931008338928224,0.049191047990104105
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_right_v2p0_20260820_161718.bag,circle_r2p5_right_v2p0_20260820_161718,right,2.0,2.5,-0.09791433811187744,2260,22.589978456497192,1.979775186320505,0.03452959745185311,-0.08709578285703731,0.03626543183665416,-0.7528940892833569,0.08142643435496894,-0.7556065301747062,1.9821430575373968,-0.37979183464947863,2.633021325817852,-0.12094027048126724,-1.491437709821147,-0.04407886041906037,0.10640811920166016,0.13347837924957276,0.0484399784442674
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_left_v2p5_20260820_161955.bag,circle_r2p5_left_v2p5_20260820_161955,left,2.5,2.5,0.12406951934099197,2265,22.639978408813477,2.441876223266875,0.032668561414990305,-0.028969326029283843,0.03769383233952398,0.8681420986149877,0.07686057117396977,0.8637113232449442,2.442349240340012,0.35518283065410833,2.8154514061346654,0.11317284142747636,2.120662565845977,-0.01192329319907862,0.10268092155456543,0.12795734405517578,0.04849589767587626
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_right_v2p5_20260820_162112.bag,circle_r2p5_right_v2p5_20260820_162112,right,2.5,2.5,-0.09791433811187744,2264,22.62997841835022,2.4799065564525375,0.03173700433254368,-0.05018663244598635,0.03850988454976482,-0.9166070875668366,0.08333440922887,-0.9161012955125218,2.4809320973474454,-0.36850359313060055,2.7136777480851064,-0.11737908508256682,-2.273236824377754,-0.02013893300504472,0.10528230667114258,0.1332015514373779,0.048598345161687095
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_left_v3p0_20260820_162629.bag,circle_r2p5_left_v3p0_20260820_162629,left,3.0,2.5,0.12406951934099197,1587,15.859984874725342,2.9327397071679284,0.052198380382191135,-0.09290965779583746,0.05386625756795821,1.1022452734675623,0.06504978256053386,1.1088235024823907,2.934771569735632,0.3759183546828339,2.6601520983025955,0.11971861773202144,3.230041461470013,-0.03181966830199838,0.10248136520385742,0.1295340061187744,0.05492111810687044
/home/tianbot/f1tenth_residual_controller_ws/lateral_identification/data/fixed_radius_r2p5/circle_r2p5_right_v3p0_20260820_162540.bag,circle_r2p5_right_v3p0_20260820_162540,right,3.0,2.5,-0.09791433811187744,2256,22.549978494644165,2.9707128179698272,0.03892077719422597,0.010063699655086172,0.048680996934548734,-1.0430080023131123,0.08161599594916429,-1.0445456840780023,2.970971884664797,-0.35059972333788236,2.8522555309102664,-0.11172471400245237,-3.103212419195824,0.003431026760774265,0.10313105583190918,0.12937278747558592,0.04898291297627422
