s_m,x_m,y_m
3.203229607,4.370156023,-0.899141587
3.225169536,4.392570984,-0.900114039
3.247109465,4.415004721,-0.901105337
3.269049394,4.437457150,-0.902116494
3.290989323,4.459928201,-0.903148519
3.312929251,4.482416815,-0.904202161
3.334869180,4.504921989,-0.905277423
3.356809109,4.527443760,-0.906374204
3.378749038,4.549982174,-0.907492403
3.400688967,4.572537289,-0.908631914
3.422628896,4.595109172,-0.909792620
3.444568824,4.617697932,-0.910973985
3.466508753,4.640303721,-0.912174988
3.488448682,4.662926699,-0.913394582
3.510388611,4.685567033,-0.914631718
3.532328540,4.708224895,-0.915885346
3.554268468,4.730900469,-0.917154355
3.576208397,4.753591883,-0.918437198
3.598148326,4.776286849,-0.919731869
3.620088255,4.798983458,-0.921037345
3.642028184,4.821681876,-0.922352746
3.663968113,4.844382268,-0.923677192
3.685908041,4.867084795,-0.925009773
3.707847970,4.889789620,-0.926349529
3.729787899,4.912496901,-0.927695499
3.751727828,4.935206792,-0.929046717
3.773667757,4.957919443,-0.930402219
3.795607685,4.980635003,-0.931761048
3.817547614,5.003353611,-0.933122299
3.839487543,5.026075402,-0.934485093
3.861427472,5.048786478,-0.935848078
3.883367401,5.071472886,-0.937210642
3.905307330,5.094134662,-0.938573021
3.927247258,5.116771835,-0.939935454
3.949187187,5.139384423,-0.941298183
3.971127116,5.161972431,-0.942661452
3.993067045,5.184535858,-0.944025498
4.015006974,5.207074691,-0.945390556
4.036946902,5.229588908,-0.946756851
4.058886831,5.252078483,-0.948124514
4.080826760,5.274543382,-0.949493613
4.102766689,5.296983560,-0.950864216
4.124706618,5.319397324,-0.952236339
4.146646547,5.341774742,-0.953609960
4.168586475,5.364114081,-0.954985502
4.190526404,5.386415245,-0.956363272
4.212466333,5.408678132,-0.957743533
4.234406262,5.430902629,-0.959126544
4.256346191,5.453088616,-0.960512556
4.278286119,5.475235966,-0.961901804
4.300226048,5.497344547,-0.963294376
4.322165977,5.519414226,-0.964690233
4.344105906,5.541444866,-0.966089322
4.366045835,5.563436321,-0.967491585
4.387985763,5.585388445,-0.968896955
4.409925692,5.607308787,-0.970305450
4.431865621,5.629204947,-0.971716583
4.453805550,5.651076857,-0.973129523
4.475745479,5.672924446,-0.974543436
4.497685408,5.694747648,-0.975957484
4.519625336,5.716546393,-0.977370827
4.541565265,5.738320619,-0.978782548
4.563505194,5.760070268,-0.980191654
4.585445123,5.781795283,-0.981597141
4.607385052,5.803495614,-0.982998002
4.629324980,5.825171216,-0.984393228
4.651264909,5.846822047,-0.985781797
4.673204838,5.868450878,-0.987162683
4.695144767,5.890074528,-0.988534908
4.717084696,5.911695866,-0.989896711
4.739024625,5.933314966,-0.991246226
4.760964553,5.954931908,-0.992581588
4.782904482,5.976546774,-0.993900934
4.804844411,5.998159652,-0.995202406
4.826784340,6.019770632,-0.996484143
4.848724269,6.041379809,-0.997744286
4.870664197,6.062987283,-0.998980977
4.892604126,6.084593156,-1.000192374
4.914544055,6.106197531,-1.001376775
4.936483984,6.127800512,-1.002532545
4.958423913,6.149408718,-1.003658216
4.980363842,6.171028797,-1.004752038
5.002303770,6.192660898,-1.005811950
5.024243699,6.214305162,-1.006836046
5.046183628,6.235961716,-1.007822743
5.068123557,6.257630681,-1.008770495
5.090063486,6.279312178,-1.009677758
5.112003414,6.301006322,-1.010542986
5.133943343,6.322713224,-1.011364672
