side,index,s_m,x_m,y_m,width_from_center_m
left,279,8.877948922,4.724431495,-1.293952875,0.600000000
left,280,8.906738592,4.702561427,-1.305021804,0.600000000
left,281,8.935335024,4.680994729,-1.316132364,0.600000000
left,282,8.963737533,4.659733796,-1.327281889,0.600000000
left,283,8.991945480,4.638780990,-1.338467649,0.600000000
left,284,9.019958273,4.618138631,-1.349686848,0.600000000
left,285,9.047775369,4.597809004,-1.360936624,0.600000000
left,286,9.075396270,4.577794347,-1.372214047,0.600000000
left,287,9.102820531,4.558096855,-1.383516117,0.600000000
left,288,9.130047757,4.538718675,-1.394839762,0.600000000
left,289,9.157077604,4.519661903,-1.406181837,0.600000000
left,290,9.183909783,4.500928578,-1.417539126,0.600000000
left,291,9.210544059,4.482520686,-1.428908334,0.600000000
left,292,9.236980251,4.464440147,-1.440286090,0.600000000
left,293,9.263218236,4.446688817,-1.451668947,0.600000000
left,294,9.289257951,4.429268483,-1.463053377,0.600000000
left,295,9.315099390,4.412180858,-1.474435773,0.600000000
left,296,9.340742608,4.395427574,-1.485812448,0.600000000
left,297,9.366187725,4.379010183,-1.497179632,0.600000000
left,298,9.391434923,4.362930143,-1.508533476,0.600000000
left,299,9.416484449,4.347188821,-1.519870046,0.600000000
left,300,9.441336617,4.331787481,-1.531185328,0.600000000
left,301,9.465991811,4.316727280,-1.542475227,0.600000000
left,302,9.490450483,4.302009263,-1.553735566,0.600000000
left,303,9.514713157,4.287634352,-1.564962088,0.600000000
left,304,9.538780432,4.273603342,-1.576150460,0.600000000
left,305,9.562652978,4.259916893,-1.587296269,0.600000000
left,306,9.586331547,4.246575521,-1.598395031,0.600000000
left,307,9.609816964,4.233579589,-1.609442190,0.600000000
left,308,9.633110139,4.220929301,-1.620433122,0.600000000
left,309,9.656212059,4.208624690,-1.631363138,0.600000000
left,310,9.679123800,4.196665611,-1.642227495,0.600000000
left,311,9.701846519,4.185051730,-1.653021392,0.600000000
left,312,9.724381463,4.173782516,-1.663739986,0.600000000
left,313,9.746729969,4.162857230,-1.674378392,0.600000000
left,314,9.768893462,4.152274913,-1.684931697,0.600000000
left,315,9.790873464,4.142034379,-1.695394965,0.600000000
left,316,9.812671588,4.132134204,-1.705763251,0.600000000
left,317,9.834289548,4.122572714,-1.716031612,0.600000000
left,318,9.855729154,4.113347977,-1.726195117,0.600000000
left,319,9.876992317,4.104457791,-1.736248867,0.600000000
left,320,9.898081050,4.095899676,-1.746188003,0.600000000
left,321,9.918997471,4.087670867,-1.756007732,0.600000000
left,322,9.939743805,4.079768299,-1.765703338,0.600000000
left,323,9.960322383,4.072188607,-1.775270207,0.600000000
left,324,9.980735644,4.064928112,-1.784703843,0.600000000
left,325,10.000986140,4.057982822,-1.793999897,0.600000000
left,326,10.021076535,4.051348422,-1.803154189,0.600000000
left,327,10.041009605,4.045020272,-1.812162732,0.600000000
left,328,10.060788242,4.038993408,-1.821021760,0.600000000
left,329,10.080415454,4.033262540,-1.829727761,0.600000000
left,330,10.099894365,4.027822055,-1.838277498,0.600000000
left,331,10.119228217,4.022666021,-1.846668046,0.600000000
left,332,10.138420370,4.017788197,-1.854896825,0.600000000
left,333,10.157474303,4.013182038,-1.862961623,0.600000000
left,334,10.176393612,4.008840714,-1.870860639,0.600000000
left,335,10.195182016,4.004757119,-1.878592507,0.600000000
left,336,10.213843347,4.000923897,-1.886156334,0.600000000
left,337,10.232381560,3.997333459,-1.893551727,0.600000000
left,338,10.250800723,3.993978012,-1.900778827,0.600000000
left,339,10.269105023,3.990849589,-1.907838334,0.600000000
left,340,10.287298760,3.987940080,-1.914731538,0.600000000
left,341,10.305386348,3.985241270,-1.921460340,0.600000000
left,342,10.323372310,3.982744879,-1.928027274,0.600000000
left,343,10.341261279,3.980442603,-1.934435527,0.600000000
left,344,10.359057993,3.978326165,-1.940688951,0.600000000
left,345,10.376767291,3.976387359,-1.946792073,0.600000000
left,346,10.394394114,3.974618102,-1.952750101,0.600000000
left,347,10.411943496,3.973010491,-1.958568919,0.600000000
left,348,10.429420560,3.971556852,-1.964255088,0.600000000
left,349,10.446830517,3.970249795,-1.969815826,0.600000000
left,350,10.464178660,3.969082274,-1.975258996,0.600000000
left,351,10.481470355,3.968047636,-1.980593077,0.600000000
left,352,10.498711040,3.967139677,-1.985827135,0.600000000
left,353,10.515906217,3.966352691,-1.990970784,0.600000000
left,354,10.533061444,3.965681518,-1.996034145,0.600000000
left,355,10.550182332,3.965121589,-2.001027796,0.600000000
left,356,10.567274535,3.964668967,-2.005962716,0.600000000
left,357,10.584343744,3.964320379,-2.010850227,0.600000000
left,358,10.601395683,3.964073249,-2.015701933,0.600000000
left,359,10.618436094,3.963925718,-2.020529649,0.600000000
left,360,10.635470738,3.963876667,-2.025345333,0.600000000
left,361,10.652505383,3.963925718,-2.030161018,0.600000000
left,362,10.669545794,3.964073249,-2.034988734,0.600000000
left,363,10.686597732,3.964320379,-2.039840440,0.600000000
left,364,10.703666942,3.964668967,-2.044727951,0.600000000
left,365,10.720759145,3.965121589,-2.049662871,0.600000000
left,366,10.737880032,3.965681518,-2.054656521,0.600000000
left,367,10.755035260,3.966352691,-2.059719883,0.600000000
left,368,10.772230436,3.967139677,-2.064863532,0.600000000
left,369,10.789471121,3.968047636,-2.070097589,0.600000000
left,370,10.806762817,3.969082274,-2.075431670,0.600000000
left,371,10.824110959,3.970249795,-2.080874841,0.600000000
left,372,10.841520917,3.971556852,-2.086435579,0.600000000
left,373,10.858997981,3.973010491,-2.092121748,0.600000000
left,374,10.876547362,3.974618102,-2.097940566,0.600000000
left,375,10.894174185,3.976387359,-2.103898593,0.600000000
left,376,10.911883484,3.978326165,-2.110001716,0.600000000
left,377,10.929680198,3.980442603,-2.116255140,0.600000000
left,378,10.947569167,3.982744879,-2.122663393,0.600000000
left,379,10.965555129,3.985241270,-2.129230327,0.600000000
left,380,10.983642717,3.987940080,-2.135959129,0.600000000
left,381,11.001836454,3.990849589,-2.142852333,0.600000000
left,382,11.020140754,3.993978012,-2.149911840,0.600000000
left,383,11.038559917,3.997333459,-2.157138940,0.600000000
left,384,11.057098130,4.000923897,-2.164534333,0.600000000
left,385,11.075759461,4.004757119,-2.172098160,0.600000000
left,386,11.094547864,4.008840714,-2.179830028,0.600000000
left,387,11.113467174,4.013182038,-2.187729044,0.600000000
left,388,11.132521107,4.017788197,-2.195793842,0.600000000
left,389,11.151713260,4.022666021,-2.204022620,0.600000000
left,390,11.171047111,4.027822055,-2.212413169,0.600000000
left,391,11.190526022,4.033262540,-2.220962906,0.600000000
left,392,11.210153234,4.038993408,-2.229668906,0.600000000
left,393,11.229931872,4.045020272,-2.238527935,0.600000000
left,394,11.249864942,4.051348422,-2.247536478,0.600000000
left,395,11.269955337,4.057982822,-2.256690770,0.600000000
left,396,11.290205833,4.064928112,-2.265986824,0.600000000
left,397,11.310619094,4.072188607,-2.275420460,0.600000000
left,398,11.331197671,4.079768299,-2.284987328,0.600000000
left,399,11.351944005,4.087670867,-2.294682934,0.600000000
left,400,11.372860427,4.095899676,-2.304502663,0.600000000
left,401,11.393949160,4.104457791,-2.314441800,0.600000000
left,402,11.415212323,4.113347977,-2.324495549,0.600000000
left,403,11.436651928,4.122572714,-2.334659055,0.600000000
left,404,11.458269888,4.132134204,-2.344927415,0.600000000
left,405,11.480068013,4.142034379,-2.355295702,0.600000000
left,406,11.502048014,4.152274913,-2.365758970,0.600000000
left,407,11.524211508,4.162857230,-2.376312275,0.600000000
left,408,11.546560013,4.173782516,-2.386950681,0.600000000
left,409,11.569094958,4.185051730,-2.397669275,0.600000000
left,410,11.591817677,4.196665611,-2.408463172,0.600000000
left,411,11.614729417,4.208624690,-2.419327528,0.600000000
left,412,11.637831338,4.220929301,-2.430257545,0.600000000
left,413,11.661124512,4.233579589,-2.441248476,0.600000000
left,414,11.684609930,4.246575521,-2.452295635,0.600000000
left,415,11.708288498,4.259916893,-2.463394397,0.600000000
left,416,11.732161045,4.273603342,-2.474540207,0.600000000
left,417,11.756228319,4.287634352,-2.485728578,0.600000000
left,418,11.780490993,4.302009263,-2.496955101,0.600000000
left,419,11.804949665,4.316727280,-2.508215440,0.600000000
left,420,11.829604859,4.331787481,-2.519505339,0.600000000
left,421,11.854457028,4.347188821,-2.530820621,0.600000000
left,422,11.879506553,4.362930143,-2.542157191,0.600000000
left,423,11.904753751,4.379010183,-2.553511035,0.600000000
left,424,11.930198868,4.395427574,-2.564878219,0.600000000
left,425,11.955842087,4.412180858,-2.576254894,0.600000000
left,426,11.981683526,4.429268483,-2.587637290,0.600000000
left,427,12.007723240,4.446688817,-2.599021720,0.600000000
left,428,12.033961226,4.464440147,-2.610404577,0.600000000
left,429,12.060397418,4.482520686,-2.621782333,0.600000000
left,430,12.087031693,4.500928578,-2.633151541,0.600000000
left,431,12.113863873,4.519661903,-2.644508829,0.600000000
left,432,12.140893720,4.538718675,-2.655850905,0.600000000
left,433,12.168120946,4.558096855,-2.667174550,0.600000000
left,434,12.195545207,4.577794347,-2.678476620,0.600000000
left,435,12.223166108,4.597809004,-2.689754043,0.600000000
left,436,12.250983203,4.618138631,-2.701003819,0.600000000
left,437,12.278995997,4.638780990,-2.712223018,0.600000000
left,438,12.307203944,4.659733796,-2.723408777,0.600000000
left,439,12.335606452,4.680994729,-2.734558302,0.600000000
left,440,12.364202884,4.702561427,-2.745668862,0.600000000
left,441,12.392992555,4.724431495,-2.756737792,0.600000000
left,442,12.421974735,4.746602503,-2.767762486,0.600000000
left,443,12.451148653,4.769071990,-2.778740401,0.600000000
left,444,12.480513494,4.791837465,-2.789669054,0.600000000
left,445,12.510068399,4.814896408,-2.800546017,0.600000000
left,446,12.539812473,4.838246274,-2.811368921,0.600000000
left,447,12.569744775,4.861884490,-2.822135449,0.600000000
left,448,12.599864331,4.885808462,-2.832843340,0.600000000
left,449,12.630170123,4.910015569,-2.843490385,0.600000000
left,450,12.660661099,4.934503173,-2.854074422,0.600000000
left,451,12.691336168,4.959268612,-2.864593343,0.600000000
left,452,12.722194206,4.984309204,-2.875045086,0.600000000
left,453,12.753234050,5.009622252,-2.885427636,0.600000000
left,454,12.784454504,5.035205037,-2.895739022,0.600000000
left,455,12.815854338,5.061054824,-2.905977321,0.600000000
left,456,12.847432291,5.087168863,-2.916140650,0.600000000
left,457,12.879187064,5.113544387,-2.926227170,0.600000000
left,458,12.911117333,5.140178614,-2.936235083,0.600000000
left,459,12.943221736,5.167068747,-2.946162629,0.600000000
left,460,12.975498886,5.194211976,-2.956008091,0.600000000
left,461,13.007947362,5.221605477,-2.965769786,0.600000000
left,462,13.040565715,5.249246412,-2.975446070,0.600000000
left,463,13.073352469,5.277131933,-2.985035336,0.600000000
left,464,13.106306117,5.305259177,-2.994536010,0.600000000
left,465,13.139425126,5.333625271,-3.003946556,0.600000000
left,466,13.172707934,5.362227329,-3.013265468,0.600000000
left,467,13.206152955,5.391062456,-3.022491275,0.600000000
