side,index,s_m,x_m,y_m,width_from_center_m
right,109,2.609987935,13.078248388,-1.582140419,0.600000000
right,110,2.633932778,13.068530747,-1.549419250,0.600000000
right,111,2.657877622,13.058258877,-1.516867812,0.600000000
right,112,2.681822465,13.047435739,-1.484495492,0.600000000
right,113,2.705767309,13.036064455,-1.452311624,0.600000000
right,114,2.729712152,13.024148304,-1.420325490,0.600000000
right,115,2.753656996,13.011690722,-1.388546313,0.600000000
right,116,2.777601839,12.998695302,-1.356983257,0.600000000
right,117,2.801546682,12.985165790,-1.325645425,0.600000000
right,118,2.825491526,12.971106089,-1.294541852,0.600000000
right,119,2.849436369,12.956520252,-1.263681508,0.600000000
right,120,2.873381213,12.941412486,-1.233073293,0.600000000
right,121,2.897326056,12.925787148,-1.202726032,0.600000000
right,122,2.921270900,12.909648742,-1.172648477,0.600000000
right,123,2.945215743,12.893001924,-1.142849302,0.600000000
right,124,2.969160586,12.875851493,-1.113337098,0.600000000
right,125,2.993105430,12.858202395,-1.084120377,0.600000000
right,126,3.017050273,12.840059719,-1.055207564,0.600000000
right,127,3.040995117,12.821428698,-1.026606996,0.600000000
right,128,3.064939960,12.802314703,-0.998326921,0.600000000
right,129,3.088884804,12.782723247,-0.970375494,0.600000000
right,130,3.112829647,12.762659979,-0.942760775,0.600000000
right,131,3.136774491,12.742130685,-0.915490727,0.600000000
right,132,3.160719334,12.721141285,-0.888573214,0.600000000
right,133,3.184664177,12.699697830,-0.862015998,0.600000000
right,134,3.208609021,12.677806506,-0.835826737,0.600000000
right,135,3.232553864,12.655473625,-0.810012984,0.600000000
right,136,3.256498708,12.632705626,-0.784582183,0.600000000
right,137,3.280443551,12.609509075,-0.759541666,0.600000000
right,138,3.304388395,12.585890662,-0.734898655,0.600000000
right,139,3.328333238,12.561857197,-0.710660256,0.600000000
right,140,3.352278081,12.537415611,-0.686833458,0.600000000
right,141,3.376222925,12.512572951,-0.663425132,0.600000000
right,142,3.400167768,12.487336383,-0.640442029,0.600000000
right,143,3.424112612,12.461713182,-0.617890776,0.600000000
right,144,3.448057455,12.435710738,-0.595777876,0.600000000
right,145,3.472002299,12.409336549,-0.574109706,0.600000000
