side,index,s_m,x_m,y_m,width_from_center_m
left,109,3.223277269,11.518752550,-1.823284615,0.600000000
left,110,3.252848620,11.510161816,-1.807144075,0.600000000
left,111,3.282419971,11.501268985,-1.791167989,0.600000000
left,112,3.311991322,11.492077204,-1.775362012,0.600000000
left,113,3.341562673,11.482589726,-1.759731736,0.600000000
left,114,3.371134024,11.472809908,-1.744282693,0.600000000
left,115,3.400705375,11.462741211,-1.729020350,0.600000000
left,116,3.430276727,11.452387199,-1.713950109,0.600000000
left,117,3.459848078,11.441751535,-1.699077301,0.600000000
left,118,3.489419429,11.430837984,-1.684407190,0.600000000
left,119,3.518990780,11.419650406,-1.669944968,0.600000000
left,120,3.548562131,11.408192762,-1.655695752,0.600000000
left,121,3.578133482,11.396469105,-1.641664586,0.600000000
left,122,3.607704833,11.384483586,-1.627856433,0.600000000
left,123,3.637276184,11.372240444,-1.614276182,0.600000000
left,124,3.666847535,11.359744012,-1.600928636,0.600000000
left,125,3.696418886,11.346998714,-1.587818521,0.600000000
left,126,3.725990237,11.334009059,-1.574950475,0.600000000
left,127,3.755561589,11.320779643,-1.562329052,0.600000000
left,128,3.785132940,11.307315149,-1.549958718,0.600000000
left,129,3.814704291,11.293620341,-1.537843851,0.600000000
left,130,3.844275642,11.279700066,-1.525988739,0.600000000
left,131,3.873846993,11.265559249,-1.514397576,0.600000000
left,132,3.903418344,11.251202895,-1.503074464,0.600000000
left,133,3.932989695,11.236636085,-1.492023410,0.600000000
left,134,3.962561046,11.221863972,-1.481248326,0.600000000
left,135,3.992132397,11.206891785,-1.470753024,0.600000000
left,136,4.021703748,11.191724821,-1.460541218,0.600000000
left,137,4.051275099,11.176368449,-1.450616521,0.600000000
left,138,4.080846451,11.160828103,-1.440982447,0.600000000
left,139,4.110417802,11.145109281,-1.431642405,0.600000000
left,140,4.139989153,11.129217546,-1.422599698,0.600000000
left,141,4.169560504,11.113158523,-1.413857529,0.600000000
left,142,4.199131855,11.096937894,-1.405418989,0.600000000
left,143,4.228703206,11.080561399,-1.397287067,0.600000000
left,144,4.258274557,11.064034833,-1.389464638,0.600000000
left,145,4.287845908,11.047364046,-1.381954472,0.600000000
left,146,4.317417259,11.030554935,-1.374759226,0.600000000
left,147,4.346988610,11.013613451,-1.367881446,0.600000000
left,148,4.376559961,10.996545587,-1.361323566,0.600000000
left,149,4.406131313,10.979357384,-1.355087907,0.600000000
left,150,4.435702664,10.962054925,-1.349176676,0.600000000
left,151,4.465274015,10.944644331,-1.343591965,0.600000000
left,152,4.494845366,10.927131766,-1.338335749,0.600000000
