side,index,s_m,x_m,y_m,width_from_center_m
right,109,2.605441390,13.033865098,-1.564270249,0.600000000
right,110,2.629344522,13.023813261,-1.531635898,0.600000000
right,111,2.653247654,13.013205721,-1.499177920,0.600000000
right,112,2.677150786,13.002045572,-1.466905776,0.600000000
right,113,2.701053918,12.990336065,-1.434828873,0.600000000
right,114,2.724957050,12.978080614,-1.402956562,0.600000000
right,115,2.748860182,12.965282792,-1.371298135,0.600000000
right,116,2.772763314,12.951946330,-1.339862820,0.600000000
right,117,2.796666446,12.938075116,-1.308659781,0.600000000
right,118,2.820569579,12.923673192,-1.277698114,0.600000000
right,119,2.844472711,12.908744757,-1.246986844,0.600000000
right,120,2.868375843,12.893294164,-1.216534925,0.600000000
right,121,2.892278975,12.877325916,-1.186351232,0.600000000
right,122,2.916182107,12.860844667,-1.156444566,0.600000000
right,123,2.940085239,12.843855223,-1.126823643,0.600000000
right,124,2.963988371,12.826362536,-1.097497100,0.600000000
right,125,2.987891503,12.808371706,-1.068473484,0.600000000
right,126,3.011794635,12.789887976,-1.039761258,0.600000000
right,127,3.035697767,12.770916735,-1.011368789,0.600000000
right,128,3.059600899,12.751463513,-0.983304356,0.600000000
right,129,3.083504031,12.731533982,-0.955576139,0.600000000
right,130,3.107407163,12.711133950,-0.928192221,0.600000000
right,131,3.131310295,12.690269365,-0.901160585,0.600000000
right,132,3.155213427,12.668946309,-0.874489111,0.600000000
right,133,3.179116559,12.647170997,-0.848185574,0.600000000
right,134,3.203019691,12.624949778,-0.822257642,0.600000000
right,135,3.226922823,12.602289129,-0.796712873,0.600000000
right,136,3.250825955,12.579195656,-0.771558714,0.600000000
right,137,3.274729087,12.555676091,-0.746802496,0.600000000
right,138,3.298632219,12.531737290,-0.722451438,0.600000000
right,139,3.322535351,12.507386231,-0.698512637,0.600000000
right,140,3.346438483,12.482630014,-0.674993071,0.600000000
right,141,3.370341615,12.457475854,-0.651899598,0.600000000
right,142,3.394244747,12.431931085,-0.629238949,0.600000000
right,143,3.418147879,12.406003153,-0.607017730,0.600000000
right,144,3.442051011,12.379699616,-0.585242419,0.600000000
right,145,3.465954143,12.353028142,-0.563919362,0.600000000
right,146,3.489857275,12.325996506,-0.543054777,0.600000000
right,147,3.513760407,12.298612589,-0.522654745,0.600000000
right,148,3.537663539,12.270884372,-0.502725214,0.600000000
right,149,3.561566671,12.242819938,-0.483271992,0.600000000
right,150,3.585469803,12.214427470,-0.464300751,0.600000000
right,151,3.609372935,12.185715243,-0.445817022,0.600000000
right,152,3.633276067,12.156691627,-0.427826191,0.600000000
right,153,3.657179199,12.127365084,-0.410333504,0.600000000
right,154,3.681082331,12.097744162,-0.393344060,0.600000000
right,155,3.704985463,12.067837495,-0.376862812,0.600000000
right,156,3.728888595,12.037653803,-0.360894563,0.600000000
right,157,3.752791727,12.007201883,-0.345443970,0.600000000
right,158,3.776694859,11.976490613,-0.330515535,0.600000000
