run,event,number,start_s,end_s,duration_s,estimated_track_s_start_m,estimated_track_s_end_m,estimated_x_m,estimated_y_m,candidate_reason_codes,max_abs_contour_error_m,max_track_slack_m
V3pro original,PP/recovery,1,3.84907865524292,4.345748424530029,0.5248959064483643,12.675795514472739,13.962539225031472,8.560953499717717,5.015269853130168,0;1;6,0.27829253673553467,2.0346063429963618e-13
V3pro original,PP/recovery,2,22.410404443740845,23.045061349868774,0.6650345325469971,57.05326468563447,58.71387378018204,-5.746617270075213,10.480735731989178,0;1;2,0.3301340341567993,1.2956684827804565
V3pro original,PP/recovery,3,26.876519918441772,27.047873973846436,0.19810962677001953,66.84099711128796,67.26838321867632,-4.922063135776889,8.828980765760637,0;1;6,0.3245820701122284,0.06083552911877632
V3pro original,PP/recovery,4,28.72085428237915,29.271257877349854,0.576148509979248,69.48526029775435,70.10029535174895,-5.551810286497479,7.328655022646214,0;1;6,0.3780156970024109,0.02623683586716652
V3pro original,prediction_risk,1,7.531307697296143,7.531307697296143,0.03569912910461426,21.495625076069558,21.495625076069558,6.496884027010943,10.740594775437978,8,0.1219557374715805,0.07184974104166031
V3pro original,prediction_risk,2,14.5789475440979,14.5789475440979,0.033565521240234375,38.58310766266709,38.58310766266709,1.3316132974434083,10.382621196209612,7,0.02903662994503975,0.042825259268283844
V3pro original,prediction_risk,3,22.410404443740845,22.410404443740845,0.030377626419067383,57.05326468563447,57.05326468563447,-4.888827116028026,10.519824538116952,2,0.2943362891674042,1.2956684827804565
V3pro original,prediction_risk,4,26.669222116470337,26.92232918739319,0.27831363677978516,66.26557638686474,66.95967516309135,-5.335482133416316,8.891712535889608,1;4;6;8,0.33212682604789734,0.08671624958515167
V3pro original,prediction_risk,5,27.7759690284729,28.895519495010376,1.15010404586792,68.48311360926179,69.67576036041781,-4.852547099620129,7.432084973877012,1;4;6;7;8,0.44059762358665466,0.07664439082145691
V3pro original,prediction_risk,6,29.05183219909668,29.05183219909668,0.030042409896850586,69.85045617253569,69.85045617253569,-5.610921208830581,7.326109005543434,1,0.25857093930244446,2.078337502098293e-13
V3pro original,track_slack_gt_1mm,1,7.531307697296143,7.531307697296143,0.03569912910461426,21.495625076069558,21.495625076069558,6.496884027010943,10.740594775437978,8,0.1219557374715805,0.07184974104166031
V3pro original,track_slack_gt_1mm,2,14.5789475440979,14.5789475440979,0.033565521240234375,38.58310766266709,38.58310766266709,1.3316132974434083,10.382621196209612,7,0.02903662994503975,0.042825259268283844
V3pro original,track_slack_gt_1mm,3,22.410404443740845,22.410404443740845,0.030377626419067383,57.05326468563447,57.05326468563447,-4.888827116028026,10.519824538116952,2,0.2943362891674042,1.2956684827804565
V3pro original,track_slack_gt_1mm,4,26.705944061279297,26.895543575286865,0.22632145881652832,66.3714151229593,66.89061758381347,-5.331126622007148,8.891646402778981,1;4;6,0.33212682604789734,0.08671624958515167
V3pro original,track_slack_gt_1mm,5,27.497337818145752,28.895519495010376,1.4260668754577637,68.10483404334994,69.67576036041781,-4.71024678783658,7.491011797911171,0;1;4;6;7;8,0.44059762358665466,0.07664439082145691
V3pro raceline_smooth,PP/recovery,1,21.732829570770264,22.378068685531616,0.6866052150726318,57.38763041758183,59.09903511403228,-6.095774649481327,10.46619400522462,0;1;2,0.30034905672073364,0.05349470674991608
V3pro raceline_smooth,prediction_risk,1,7.156743049621582,7.156743049621582,0.041121721267700195,21.536275892582818,21.536275892582818,6.456731035569432,10.734342851589691,7,0.015126451849937439,0.07340745627880096
V3pro raceline_smooth,prediction_risk,2,21.732829570770264,21.916736602783203,0.22527313232421875,57.38763041758183,57.9293337144228,-5.4842928165971925,10.492786856835538,1;2,0.30034905672073364,0.05349470674991608
V3pro raceline_smooth,track_slack_gt_1mm,1,7.156743049621582,7.156743049621582,0.041121721267700195,21.536275892582818,21.536275892582818,6.456731035569432,10.734342851589691,7,0.015126451849937439,0.07340745627880096
V3pro raceline_smooth,track_slack_gt_1mm,2,21.732829570770264,21.732829570770264,0.0413661003112793,57.38763041758183,57.38763041758183,-5.222864580857239,10.505026849771983,2,0.2699832022190094,0.05349470674991608
